stdDevYAbsGrad,MeanGradX,MeanGradY
13.14660716,10.0194,8.9004
25.87166849,4.5095,5.4281
11.19389619,2.1833,2.6053
14.18244936,1.1913,1.3945
20.04421645,2.5465,2.2617
12.2061079,1.2546,1.4886
21.04477942,3.7394,3.3044
13.25068451,1.7142,1.8498
21.19315689,7.614,8.4078
27.50494917,11.6357,7.7877
13.52225652,15.428,14.3184
16.54813053,2.1748,2.424
14.01141529,2.4436,1.8988
24.78530595,6.6972,5.153
17.28548452,3.7812,2.525
18.01068529,2.3936,1.6744
23.07225197,4.053,3.7946
22.08613764,4.389,4.582
23.01009063,5.81,5.823
22.40682221,4.0038,4.1316
21.51082695,2.7214,3.482
11.38522371,5.343,7.091
16.18676103,2.3859,2.4689
17.72382581,6.3358,5.4684
17.45940846,3.3973,3.4525
21.35318479,3.2646,2.8618
21.91612394,5.008,4.4056
18.99901208,2.176,1.9496
26.45104392,2.3478,2.6244
20.41753578,3.634,3.9792
6.876144196,12.7632,13.429
16.58597695,12.8944,9.9808
17.63954092,6.841,6.486
17.65478078,12.1434,14.5334
19.28135433,11.7193,11.5773
22.82687228,5.1976,10.0224
22.93689322,7.9788,11.7788
17.61244311,8.4268,13.4028
30.37390829,4.6878,13.2256
17.86192983,9.7202,10.7174
19.12985727,8.9108,8.031
31.17881614,9.7632,12.7196
32.29187557,10.7643,16.3943
9.282191498,5.7604,4.861
25.61047533,13.1564,15.0188
15.52941953,15.7742,8.823
19.32172819,11.7192,11.0634
12.20697869,8.0294,6.7056
33.49675848,10.6234,12.5466
14.26128719,7.9727,7.3181
19.86852554,14.5194,21.7278
25.44581691,26.1732,27.0142
19.0245801,9.465,6.8698
26.6906302,17.0056,18.3634
28.38741922,9.3674,11.0532
17.70089557,8.2444,8.164
25.80529803,11.4587,13.4213
25.52740105,12.5994,12.6334
25.81479902,9.2047,9.9619
11.01306786,1.5384,1.9694
14.53406862,2.5601,2.7673
29.50408012,19.6552,18.3204
18.2475506,11.7119,7.1811
12.79453166,11.1521,9.2531
55.0194412,24.7238,25.9158
50.89216159,28.4802,25.533
16.26111999,5.6036,7.6392
20.56965676,29.0038,23.6436
36.23870631,9.9956,18.6522
21.32301846,17.4264,15.5434
27.18866613,16.481,14.5586
19.48287102,3.9568,5.3264
21.23702249,12.9438,11.2334
34.01435003,21.1468,17.4802
23.29458444,5.9862,8.644
17.90641918,6.5736,5.4404
16.92143351,1.68,2.2202
10.85389128,6.4746,5.162
20.59350941,7.6389,7.1705
13.81604835,4.2464,3.9798
16.2285965,4.7703,4.6663
8.814959167,17.9013,13.2433
20.33283298,9.2735,10.1233
17.61219357,8.4397,7.2637
17.94249724,10.4104,8.8464
23.80177615,7.427,8.8096
11.52169606,4.7664,3.5228
19.15164369,23.9976,13.688
12.13579079,6.1143,5.2851
19.13273506,12.8438,9.957
53.82466442,22.8226,21.49
18.70909763,11.901,16.5476
14.30762628,19.8289,23.5695
13.02782972,6.3722,4.8278
18.42994072,11.0395,9.7211
39.54512239,6.2918,8.8248
34.84840422,7.5568,7.4066
26.34730022,5.651,8.1182
19.49389822,8.3588,6.2904
10.65065369,5.2568,5.276
17.20692872,7.4926,6.398
25.84596252,8.5976,8.4488
30.06431005,5.1144,4.9546
25.72263663,6.8254,4.2092
37.39374695,5.2498,6.883
49.53813138,12.7212,19.2382
19.46544436,5.8164,6.326
29.22537256,18.3792,18.5316
13.9444571,6.408,4.2296
24.5469504,11.678,12.0814
16.35988521,7.4644,7.334
12.54503535,3.8675,3.9803
34.58083907,16.759,18.387
23.10612785,14.5318,8.284
22.42952803,4.5372,3.8106
26.29778539,4.2916,4.7128
34.57568012,19.8694,15.8196
15.40432817,6.1304,6.4058
9.798390723,2.1032,1.9882
20.21899239,5.4504,4.9216
11.04484462,1.6064,1.5144
15.13719979,17.5296,19.3484
18.81318686,1.4488,1.38
23.03120053,8.376,9.2514
20.40367503,7.324,6.6888
21.87752549,5.6214,6.9316
17.86376369,11.4243,11.5367
28.02085279,9.1698,7.003
26.58835752,8.8832,9.0696
34.34344826,16.1608,14.6642
25.47697221,4.0875,5.2561
20.275964,2.5282,3.2128
14.85985712,14.036,13.5738
25.96996143,8.9274,9.9344
22.59751804,7.6718,7.6816
21.52694104,8.384,7.4212
14.46565848,4.2388,2.9478
29.17784008,4.2246,5.9396
31.78900687,23.9137,22.5815
25.89457432,5.982,6.1078
17.98872978,5.113,4.149
22.74031771,6.288,5.6084
25.38730342,12.3316,8.345
15.01828765,12.396,9.506
19.01122613,2.3846,1.841
10.99161724,13.626,6.3638
15.55070182,6.3061,6.5409
14.42263763,7.6595,6.8463
30.06825459,2.6702,3.4524
22.27615205,9.638,12.7658
26.97278839,13.8058,16.5262
24.1090712,10.4729,10.1949
21.57218933,5.4906,5.6856
20.17378594,11.0926,8.969
14.24035584,15.4208,12.1388
30.12635584,11.1548,19.122
17.978042,2.593,2.5024
9.00997409,4.9085,11.1633
12.08858132,1.7442,2.2358
6.888406257,1.1944,1.2882
21.10598393,30.6753,14.4185
29.08486243,23.7222,18.0958
17.73205377,19.571,17.9446
15.88514241,16.8373,14.3757
24.41421328,16.8831,15.1187
32.14425848,15.9861,16.8459
12.77425131,5.769,5.4344
25.40324938,13.482,11.461
37.36020089,37.384,24.5824
17.53312957,2.2392,1.7144
20.01217793,18.7352,20.4884
16.2058261,10.5119,15.3743
15.49695474,9.3858,6.1876
15.0129669,8.6922,11.515
23.82262982,6.3182,6.6308
26.09380982,21.7134,18.483
51.59468674,20.6146,24.29
9.855546578,3.498,2.7358
24.01259371,17.0362,24.2344
14.68533748,2.8286,4.4048
21.18800545,13.7448,21.745
22.26032819,6.1235,12.7083
7.855794574,4.3499,13.2619
25.45495132,5.9472,6.7146
25.70535693,3.8846,4.875
28.51441017,3.4028,5.0708
12.86253722,14.7334,20.0796
11.59340059,1.4318,1.9674
29.58040296,22.0554,23.4064
17.72400807,3.3618,5.1286
12.3921847,1.7524,3.0732
14.43451134,14.0604,21.0168
24.00009315,3.3642,4.273
19.73377605,20.2835,23.4909
19.44959824,19.0514,25.0594
11.91172516,9.7197,12.3537
32.18481483,4.6354,4.8116
18.67653226,3.9756,3.3174
25.37290573,24.7718,18.7426
9.847885538,7.5238,8.1362
21.2931273,3.9722,2.7614
34.63695678,22.245,19.965
23.36760263,3.574,3.4766
24.7593122,16.7876,14.4618
13.39996781,12.5712,6.5326
16.17662808,14.84,14.6628
15.19143568,10.6111,8.4047
16.91026702,3.6598,4.0712
23.80185349,2.2164,2.4032
22.82991677,9.7967,9.0005
31.25131005,11.7445,15.6001
26.83739337,6.4934,7.1346
24.14132293,4.5186,4.7448
21.92227455,2.8334,2.8938
9.778513998,0.7836,1.808
17.5094446,2.0192,2.7176
18.89228425,1.726,1.886
26.71323741,6.5184,6.7082
17.95213975,8.015,5.8732
19.73859614,6.1834,5.8338
