stdDevYAbsGrad,MeanGradX,MeanGradY
10.39332358,14.0172,12.695
37.43637274,9.3981,24.2621
43.62117843,12.856,27.9106
34.70325201,16.0119,25.1249
28.39191637,22.8888,20.9908
12.34867879,21.165,12.2904
23.81519167,16.6725,17.8163
29.48899401,13.2915,22.5885
48.63303833,54.2332,27.6048
42.44745505,15.5741,26.7063
24.40992335,17.5418,18.4486
31.72965003,23.9111,23.4359
39.15864005,19.5577,26.7423
28.73516633,14.6742,29.5402
34.06227082,27.4543,28.8775
30.56089002,29.6323,21.4989
30.98180267,6.7566,13.1952
70.18806697,29.7853,34.3337
23.22546292,17.2807,21.7351
25.2240411,19.8529,23.7493
20.67605935,11.6878,17.1886
29.48726114,18.5921,21.1695
23.98974294,20.3184,19.7442
18.7154325,18.2023,18.0093
37.81779351,22.9822,22.5624
34.53802422,17.9854,18.4482
27.00148479,20.953,17.9382
19.59378033,15.7069,17.8165
18.6094167,21.8199,13.5749
20.17383123,16.1089,15.3519
34.32752114,20.6937,21.6315
25.91794584,18.5906,16.2156
23.68248814,17.3408,18.2244
47.134172,50.6487,35.6945
24.19306857,34.1691,24.1927
26.63902865,19.5989,19.6943
21.84148903,31.1085,20.9209
27.67152204,20.3203,18.8401
22.19581767,24.1799,25.8697
30.05279154,13.9985,18.8571
23.62685337,14.4074,17.56
58.01806261,33.1142,34.7818
16.0098686,17.5716,17.2644
23.21087525,42.5273,16.4545
18.42994405,16.6823,22.0215
20.00453683,30.3393,19.7625
21.79446205,14.754,14.068
14.63741357,12.701,9.3872
23.53002805,16.5722,15.8728
15.08296363,12.1568,13.2298
14.43451553,13.9494,10.0988
26.04160107,12.7615,16.0769
23.12193259,17.0864,19.1812
36.66474844,37.2515,34.8881
32.65081335,31.6128,33.8644
18.44146596,10.3799,19.3073
15.09764044,9.6353,9.4927
19.46194173,10.2092,9.7196
38.36368893,34.2342,26.0444
21.25195872,16.1083,15.6243
20.25906406,22.4098,24.7982
13.2563869,14.7495,16.6225
24.27210728,15.9352,16.5202
21.9897567,7.1731,8.4995
20.08770636,18.4718,19.4646
28.95247072,15.1864,22.5352
18.45003406,14.2068,16.0452
18.16939292,9.9778,8.169
29.30354122,16.1548,15.9428
24.950463,10.9368,14.086
22.62870732,18.4302,20.0246
15.01313569,14.2776,11.5822
27.7704472,15.0733,20.6465
27.92481123,39.1174,25.4424
21.96851712,14.7421,17.9581
21.2544111,14.885,23.947
18.25817678,21.2707,20.7993
17.2490079,16.8806,16.8738
24.26162011,14.3126,15.0824
20.86630851,21.1192,21.163
24.19390914,13.4684,18.1008
34.24525075,7.5436,11.001
16.76930899,14.803,22.526
25.83957704,15.1427,21.7471
32.82469788,16.6482,22.803
16.67521495,10.7969,8.9425
26.63526504,20.7932,22.816
17.52575851,14.6564,13.9308
44.54048783,27.6919,31.7799
17.580537,11.7346,9.0626
37.15250064,24.6581,22.7343
31.38632372,20.3022,29.3018
28.39049524,17.2037,20.2555
28.71731083,22.318,20.5816
16.52363771,17.9448,15.9322
19.8080566,16.3154,11.4376
16.14362882,12.1686,9.2808
19.87431706,14.451,13.6988
19.58230482,8.3248,10.8786
15.3262084,14.2611,17.1801
20.06825373,14.4345,13.2685
29.26579635,17.2296,18.542
27.99105951,12.4234,17.6918
37.86933389,23.0095,22.1259
25.32947415,21.7546,19.5956
37.45188014,24.8388,22.9124
20.16648977,14.6063,14.7071
37.53623321,5.9563,14.7379
16.99160469,16.7733,15.9503
30.67542828,30.556,27.11
15.16281392,18.3744,10.9914
17.03297169,12.2408,14.2666
26.4452249,26.5987,24.9555
18.66784656,19.9503,19.2191
38.65055783,5.8084,23.7634
28.24874714,23.1912,23.0478
22.12971569,19.6493,17.9323
20.90601928,20.5304,15.2424
30.5440893,14.3152,20.797
23.97686885,7.6394,22.3498
